title,year,runtime_minutes,genres,average_rating,num_votes
The Search for the Loch Ness Monster,2003,NA,Documentary,4.8,17
Monster Island,2004,92,"Adventure,Comedy,Horror",3.6,1429
The Return of the Forest Monster,2003,75,"Comedy,Horror",6.4,45
Monster House,2006,91,"Animation,Comedy,Family",6.7,143024
Metallica: Some Kind of Monster,2004,84,"Documentary,Music",7.5,20587
"Godzilla, King of the Monsters",1998,39,Documentary,6.7,136
Frankenstein: Birth of a Monster,2003,70,Drama,7,57
Monstersdotcom,2003,82,Horror,7.9,18
Monster Road,2004,80,"Animation,Documentary",7.7,213
Monsterthursday,2004,99,"Drama,Romance,Sport",6.3,784
Treasure Island Kids: The Monster of Treasure Island,2006,86,"Adventure,Family",4.4,89
My Pet Monster,1986,60,"Comedy,Family,Fantasy",4.5,393
Lord Zedd's Monster Heads: The Greatest Villains of the Mighty Morphin Power Rangers,1995,30,"Action,Comedy,Family",6.5,73
Van Helsing: The Man and the Monsters,2004,60,Documentary,6.9,76
Jan-Gel 3: Hillbilly Monster,2003,82,Horror,3.6,84
Scooby-Doo and the Loch Ness Monster,2004,74,"Adventure,Animation,Comedy",6.6,6197
Lover of the Monster,1974,83,Horror,4.8,214
Greasepaint and Gore: The Hammer Monsters of Phil Leakey,2004,80,Documentary,8.1,16
Monsterama: A Tribute to Horror Hosts,2004,NA,"Comedy,Documentary,Drama",7.4,13
Monster Mountain,2012,91,"Horror,Sci-Fi",3.3,105
Monsterama Sci-Fi Late Night Creature Feature Show Vol. 1,1996,NA,"Horror,Sci-Fi",6.3,16
Four Eyed Monsters,2005,85,"Comedy,Drama,Fantasy",6.2,1240
Dave Gahan: Live Monsters,2004,74,"Documentary,Music",8.5,79
Dylan Moran: Monster,2004,85,Comedy,8.4,1668
Based on a True Story: The Making of 'Monster',2004,15,"Documentary,Short",5.8,63
Reigo: The Deep-Sea Monster vs. The Battleship Yamato,2005,81,"Action,Fantasy,Sci-Fi",3.8,222
Monsters of the UFO,2005,44,"Sci-Fi,Short",7.5,21
Monster Night,2006,90,"Adventure,Comedy,Family",3.6,307
Space Monster Wangmagwi,1967,82,"Horror,Sci-Fi",5.1,141
Monster Kid Home Movies,2005,NA,"Drama,Fantasy,Horror",8.6,51
Mutant Slabs and Monster Barrels,1992,45,NA,8.8,31
Xuxinha and Guto Against the Space Monsters,2005,85,"Animation,Family,Musical",2.7,739
"Bagi, the Monster of Mighty Nature",1984,90,"Action,Adventure,Animation",6.5,213
The Green Monster: It Came from the River,2006,29,Documentary,9.1,19
The Monster of Phantom Lake,2006,97,"Comedy,Horror,Sci-Fi",5.2,235
Jack Brooks: Monster Slayer,2007,85,"Action,Comedy,Horror",5.9,6702
Het monster van Toth,1999,80,"Adventure,Comedy,Fantasy",6.2,41
The Monster's Mind,2006,74,Mystery,7.2,18
Assmonster: The Making of a Horror Movie,2006,96,Comedy,4.6,146
"Karloff, the Gentle Monster",2006,38,"Documentary,Short",7,113
Monsters vs. Aliens,2009,94,"Action,Adventure,Animation",6.4,179302
Monsters! Mysteries or Myths?,1974,60,Documentary,8.1,37
Sesame Street: Monster Hits!,1990,30,"Family,Music,Short",7.7,29
Master Monster Makers,2006,11,"Documentary,Short",7.5,24
Air Guitar Tutorial with Champs Bjorn Turoque and Rockness Monster,2005,28,"Comedy,Short",5.3,14
A Monster in Paris,2011,90,"Adventure,Animation,Comedy",6.7,23028
Monster Camp,2007,81,"Documentary,Fantasy",6.6,655
One-Eyed Monster,2008,84,"Comedy,Horror,Sci-Fi",4.1,2601
Waking Up with Monsters,2007,NA,Comedy,8,11
Monsters Don't Get to Cry,2007,NA,Thriller,6.5,14
Super Monsters Furever Friends,2019,58,Animation,5.6,86
Monster Run,2020,104,"Action,Drama,Fantasy",5.1,562
Sesame Street: Happy Healthy Monsters,2005,45,Family,7.2,13
Monster Island,2019,89,"Action,Adventure,Sci-Fi",2.8,790
Monster Pool: Chapter Four,2018,NA,Horror,4.5,18
Monster Cops: The Midnight Special,2006,100,"Comedy,Horror",9,14
The Other Loch Ness Monster,2000,28,Documentary,6.2,24
The Man Who Drew Bug-Eyed Monsters,1994,60,Documentary,7.7,36
"Frankenstein's Monster's Monster, Frankenstein",2019,32,Comedy,5.8,2495
My Monster Mom,2008,98,Comedy,5,35
Monsters of the Id,2007,75,Animation,4.3,20
Lil' Monsters,2019,51,Animation,5.5,52
Momo: The Missouri Monster,2019,82,"Documentary,Drama,Horror",4,155
Hungry for Monsters,2004,67,Documentary,7,24
Famous Monster: Forrest J Ackerman,2007,48,"Biography,Documentary",7.8,75
Loch Ness Monster: New Evidence,2019,84,Documentary,6.1,23
Rock Monster,2008,86,"Action,Adventure,Comedy",3.2,855
Monster Ark,2008,84,"Fantasy,Horror,Sci-Fi",3.3,1274
"I, Pastafari: A Flying Spaghetti Monster Story",2019,56,Documentary,6.9,640
Making the Monster: Special Makeup Effects Frankenstein Monster Makeup,2007,9,"Horror,Short",6.8,10
Dorian Yates: The Original Mass Monster,2019,85,"Documentary,Sport",7.1,95
Nelly Rapp: Monster Agent,2020,93,"Adventure,Comedy,Family",5.8,723
Bottle Monster,2020,91,"Drama,Horror",2.5,932
Lordi: Would You Love a Monsterman?,2006,3,"Horror,Music,Short",7.1,12
I Got a Monster,2023,90,Documentary,6.6,220
Monster Squad Forever!,2007,87,Documentary,7.7,109
Haie - Monster der Medien,2019,NA,Documentary,6.4,19
Monster,2008,86,"Action,Adventure,Horror",2.1,1540
Social Media Monster,2021,NA,Documentary,9,132
Green Eyed Monster,2007,84,"Horror,Mystery,Sci-Fi",2.9,149
Lucky Monster,2019,90,"Comedy,Drama",6,16
The Monsters Hunt at Night,2020,75,Horror,3.3,10
The Monster X Strikes Back: Attack the G8 Summit,2008,98,"Comedy,Sci-Fi",5.2,419
Monster SeaFood Wars,2020,84,"Comedy,Fantasy,Sci-Fi",5.3,106
LEGO DC: Shazam! Magic and Monsters,2020,81,"Action,Adventure,Animation",6.3,1275
Of Monster Mode,2007,98,Drama,5.8,41
Monster Hunter,2019,NA,Action,6.3,85
Monster,2020,70,"Adventure,Sci-Fi,Thriller",3.9,46
Dragon Pond Monster,2020,82,"Action,Thriller",5.5,12
Bob and the Monster,2011,87,Documentary,7.4,365
Monsterpiece Theatre Volume 1,2011,93,"Comedy,Horror",5.2,39
Marina Monster,2008,72,"Comedy,Horror",1.3,162
Monster Strike the Movie: Lucifer - Zetsubou no Yoake,2020,127,Animation,4.2,31
Geek Monsters,2020,49,Drama,6.7,13
Bela: Humanoid Monster,2020,90,"Action,Animation,Horror",6.7,55
The Crypt Monster,2021,116,"Adventure,Comedy,Horror",5.1,384
Monsters Gone Wild!,2004,84,"Documentary,Horror",4.3,52
Grow Live Monsters,1995,145,Musical,8.3,12
He Who Made Monsters: The Life and Art of Jack Pierce,2008,25,Short,7.1,85
Prehistoric Monsters Revealed,2008,NA,"Documentary,History",7.3,61
Bigfoot: The Monster Within,2022,56,"Horror,Thriller",3.1,56
Monster Killers,2020,75,"Comedy,Horror",5.4,47
Eminent Monsters,2020,89,Documentary,7.4,34
Monster Hunters,2020,88,"Action,Sci-Fi,Thriller",2.3,836
House Monster,2020,70,Drama,3.2,39
The Green Monster,2009,78,"Horror,Thriller",4,69
Monsterland,2009,80,Documentary,6.2,177
The 12 Day Tale of the Monster That Died in 8,2020,88,"Comedy,Drama,Sci-Fi",5.4,107
The Nights Belong to Monsters,2021,96,"Drama,Fantasy",5.5,63
DTV Monster Hits,1987,60,Animation,8.5,109
Monsters from the Id,2009,52,Documentary,6.9,35
Monsterland,2008,73,"Family,Horror",7,18
The Loch Ness Monster,2021,50,"Documentary,Horror",7.3,106
Monsters of California,2023,110,"Adventure,Sci-Fi",4.8,808
Bud Abbott and Lou Costello Meet the Monsters,2008,4,"Animation,Comedy,Horror",5.7,29
The New Monsters Today,2009,102,Comedy,4.4,314
Monster Busters,2009,NA,Family,5,143
Monster from Bikini Beach,2008,95,"Comedy,Horror",5.1,116
Time of Monsters,2020,83,Comedy,4,25
Monsters of War,2021,80,"Adventure,Drama,Horror",2.1,305
The Monster's Christmas,1981,47,"Adventure,Family,Fantasy",5.6,96
Legend of the Cat Monster,1983,95,Horror,6.3,36
Gary Moore: Live at Monsters of Rock,2003,63,Music,8.2,19
Monster Cops: Shadow Company,2008,24,"Action,Comedy,Horror",9.2,12
Love and Monsters,2020,86,Comedy,4.1,119
War of the God Monsters,1985,87,Sci-Fi,3.8,126
The Birds: Hitchcock's Monster Movie,2012,14,"Documentary,Short",6.9,19
Monster Movie,2008,71,Horror,3.6,48
Monsters Among Us: The Creature FX of 'The Mist',2008,13,"Documentary,Short",7.9,22
Mi adorado Monster,2021,96,"Documentary,Horror",7.4,26
