sex,age,migration_background,gender,origin,similarity,political_solidarity,threat
f,26,no,f,Afghanistan,3,4.666666666666667,1.3333333333333333
f,26,yes,m,Ukraine,4,7,1
f,26,no,f,Afghanistan,2,5,1
f,26,no,m,Ukraine,5,7,1
m,26,no,f,Ukraine,2,4,1
m,26,yes,m,Ukraine,4,4.666666666666667,1.3333333333333333
m,26,no,f,Afghanistan,4,5.666666666666667,1
m,26,no,f,Afghanistan,3,4.333333333333333,1.6666666666666667
f,26,no,m,Afghanistan,2,4.666666666666667,1
m,26,no,m,Afghanistan,2,3,2.3333333333333335
f,26,yes,m,Afghanistan,3,4.666666666666667,1.6666666666666667
f,26,no,m,Ukraine,2,5,1.3333333333333333
m,26,yes,f,Afghanistan,6,3,1
m,26,yes,m,Afghanistan,4,6.666666666666667,1
f,26,no,m,Afghanistan,5,5.333333333333333,1.3333333333333333
f,26,yes,m,Ukraine,5,5,1.6666666666666667
f,26,yes,m,Ukraine,5,6.666666666666667,1
m,26,no,m,Ukraine,5,6,1
m,26,no,m,Ukraine,4,5.666666666666667,1.3333333333333333
m,26,no,m,Afghanistan,2,1.6666666666666667,2.6666666666666665
m,26,no,m,Ukraine,4,5.333333333333333,1.3333333333333333
m,26,yes,f,Ukraine,5,6.666666666666667,2
f,26,yes,m,Ukraine,4,5,1
f,26,no,f,Ukraine,4,6.333333333333333,1
m,26,no,m,Afghanistan,1,4,1
f,26,no,f,Ukraine,5,4,1
m,26,no,m,Ukraine,2,3.3333333333333335,2
f,26,no,f,Afghanistan,1,4.333333333333333,2
f,26,no,m,Afghanistan,1,4,1.6666666666666667
f,26,no,f,Ukraine,6,6.666666666666667,1
m,26,no,f,Afghanistan,2,2.6666666666666665,2.3333333333333335
m,26,no,m,Afghanistan,4,4.666666666666667,1
f,26,no,m,Ukraine,4,5.666666666666667,2
m,26,no,m,Afghanistan,5,3.6666666666666665,1
f,26,no,m,Ukraine,4,3.6666666666666665,1
m,26,no,m,Ukraine,5,4.666666666666667,2
m,26,no,m,Ukraine,5,6.333333333333333,1
f,26,no,f,Ukraine,5,5.333333333333333,1.3333333333333333
m,26,yes,m,Ukraine,5,6.333333333333333,1.6666666666666667
NA,26,yes,m,Afghanistan,4,3.3333333333333335,1.3333333333333333
f,26,no,f,Afghanistan,2,2.6666666666666665,1.3333333333333333
m,26,yes,m,Ukraine,3,3,2.6666666666666665
m,26,no,f,Afghanistan,1,2.3333333333333335,2
f,26,yes,f,Afghanistan,4,6,1
m,26,yes,f,Ukraine,5,6.666666666666667,1
m,26,yes,m,Afghanistan,3,4,1.6666666666666667
f,26,no,m,Ukraine,3,5.666666666666667,1
m,26,yes,f,Ukraine,4,4.333333333333333,1.3333333333333333
m,26,yes,m,Afghanistan,1,1.3333333333333333,3.6666666666666665
f,26,no,f,Ukraine,5,6.333333333333333,1
m,26,yes,f,Ukraine,5,4,2.3333333333333335
f,26,yes,f,Afghanistan,6,7,1
m,26,no,f,Afghanistan,2,4.666666666666667,2
f,27,no,m,Afghanistan,5,6.666666666666667,1.3333333333333333
f,27,yes,m,Afghanistan,2,2.3333333333333335,3.6666666666666665
m,27,yes,m,Ukraine,5,6.333333333333333,1
f,27,no,m,Ukraine,5,4.666666666666667,1
f,27,no,m,Afghanistan,2,4.666666666666667,1.6666666666666667
m,27,no,m,Afghanistan,3,2.3333333333333335,1
m,27,no,f,Ukraine,5,4.666666666666667,1.3333333333333333
m,27,no,f,Afghanistan,2,4,2.3333333333333335
m,27,no,m,Ukraine,2,1.6666666666666667,2.3333333333333335
m,27,no,m,Afghanistan,4,4,1.6666666666666667
f,27,no,f,Ukraine,5,7,1
f,27,no,f,Ukraine,5,5.666666666666667,1.3333333333333333
f,27,yes,f,Afghanistan,5,6,1
f,27,no,m,Ukraine,4,5,1.3333333333333333
m,27,no,m,Ukraine,5,4,1
m,27,no,m,Afghanistan,1,1,3.3333333333333335
f,27,no,m,Ukraine,4,5.666666666666667,1
f,27,yes,f,Ukraine,7,5.333333333333333,1
m,27,no,m,Ukraine,4,6,1
m,27,no,m,Afghanistan,1,3,3.6666666666666665
f,27,no,m,Afghanistan,2,2,3
f,27,no,f,Afghanistan,3,5.666666666666667,1.6666666666666667
m,27,no,f,Afghanistan,1,1,3.6666666666666665
NA,27,yes,f,Ukraine,6,5.666666666666667,1
f,27,no,f,Afghanistan,4,3,3
f,27,no,m,Afghanistan,4,4.333333333333333,2.3333333333333335
NA,27,yes,m,Afghanistan,3,4.666666666666667,2.6666666666666665
m,27,yes,f,Afghanistan,3,4.666666666666667,1.6666666666666667
m,27,no,m,Ukraine,1,1,3.6666666666666665
m,27,no,m,Ukraine,4,4.666666666666667,1
m,27,no,f,Ukraine,2,5.333333333333333,1
m,27,no,f,Afghanistan,4,4.333333333333333,2
m,27,no,m,Afghanistan,5,6,2
f,27,no,f,Ukraine,5,7,1
f,27,no,m,Afghanistan,4,5,1.3333333333333333
m,27,no,f,Ukraine,1,2.3333333333333335,1
m,27,no,f,Ukraine,1,4.666666666666667,1
m,27,no,m,Afghanistan,5,4,1
m,27,no,f,Afghanistan,3,3.3333333333333335,2
m,27,no,f,Afghanistan,1,4.666666666666667,1.6666666666666667
f,27,yes,m,Ukraine,4,6.333333333333333,1
